cellid,newclusterid
23002_2,4
23002_16,5
23002_18,5
23002_27,4
23002_28,4
23002_29,5
23002_36,5
23002_39,5
23002_40,6
23002_45,3
23002_52,4
23002_59,5
23002_60,5
23002_62,5
23002_66,6
23002_67,6
23002_75,3
23002_76,4
23002_78,4
23002_79,3
23002_91,6
23002_98,4
23002_99,4
23002_104,6
23002_106,6
23002_109,3
23002_111,6
23002_112,6
23002_114,4
23002_115,2
23002_120,6
23002_121,4
23002_124,6
23002_125,4
23002_132,6
23002_134,2
23002_137,6
23002_141,3
23002_142,2
23002_148,4
23002_149,3
23002_150,3
23002_154,6
23002_155,3
23002_157,3
23002_158,6
23002_159,6
23002_167,6
23002_168,3
23002_170,4
23002_172,3
23002_174,3
23002_178,3
23002_181,3
23002_187,3
23002_188,6
23002_189,3
23002_196,4
23002_197,4
23002_198,3
23002_199,6
23002_202,3
23002_209,3
23002_213,4
23002_218,4
23002_219,4
23002_224,3
23002_227,4
23002_231,3
23002_233,6
23002_234,2
23002_236,6
23002_238,3
23002_239,4
23002_243,4
23002_244,6
23002_249,4
23002_250,4
23002_255,6
23002_256,6
23002_257,4
23002_259,2
23002_260,3
23002_263,4
23002_266,1
23002_267,4
23002_268,4
23002_272,3
23002_274,3
23002_277,4
23002_283,6
23002_286,6
23002_288,3
23002_290,4
23002_297,6
23002_298,6
23002_308,4
23002_309,6
23002_310,6
23002_312,3
23002_315,6
23002_316,4
23002_317,4
23002_321,3
23002_323,4
23002_325,3
23002_327,4
23002_331,6
23002_347,6
23002_353,3
23002_354,6
23002_355,4
23002_366,4
23002_367,4
23002_370,4
23002_374,4
23002_376,4
23002_377,4
23003_16,5
23003_17,5
23003_20,1
23003_21,2
23003_25,1
23003_26,2
23003_36,5
23003_37,5
23003_41,4
23003_51,5
23003_54,5
23003_62,5
23003_64,5
23003_66,2
23003_67,2
23003_69,2
23003_70,2
23003_72,2
23003_75,2
23003_76,5
23003_77,6
23003_78,5
23003_80,5
23003_84,2
23003_85,6
23003_86,2
23003_91,2
23003_93,2
23003_94,2
23003_95,2
23003_97,4
23003_101,5
23003_103,5
23003_104,5
23003_105,5
23003_107,5
23003_110,2
23003_112,6
23003_113,2
23003_114,2
23003_115,6
23003_116,6
23003_123,2
23003_127,6
23003_128,2
23003_129,6
23003_130,2
23003_131,6
23003_132,6
23003_135,2
23003_136,2
23003_137,2
23003_141,4
23003_142,2
23003_148,4
23003_151,2
23003_153,6
23003_154,6
23003_157,2
23003_164,6
23003_166,4
23003_168,2
23003_177,2
23003_180,2
23003_181,2
23003_184,6
23003_186,6
23003_191,2
23003_192,5
23003_193,4
23003_194,3
23003_196,2
23003_197,1
23003_202,1
23003_203,6
23003_205,2
23003_206,2
23003_207,2
23003_208,1
23003_209,2
23003_210,2
23003_211,2
23003_213,1
23003_214,2
23003_217,2
23003_219,2
23003_220,2
23003_222,2
23003_224,2
23003_231,6
23003_234,2
23003_235,6
23003_236,2
23003_237,6
23003_241,1
23003_246,6
23003_247,2
23003_248,2
23003_249,2
23003_250,6
23003_253,2
23003_256,2
23003_258,2
23003_260,2
23003_261,1
23003_263,4
23003_264,2
23003_265,5
23003_266,3
23003_268,4
23003_269,6
23003_271,6
23003_272,6
23003_274,2
23003_275,2
23003_277,2
23003_278,2
23003_279,6
23003_280,2
23003_281,2
23003_282,2
23003_283,6
23003_285,6
23003_287,1
23003_288,1
23003_290,1
23003_291,6
23003_302,2
23003_304,6
23003_306,2
23003_311,6
23003_313,4
23003_314,1
23003_317,2
23003_321,2
23003_322,2
23003_323,2
23003_324,2
23003_325,5
23003_328,2
23003_329,2
23003_331,1
23003_336,1
23003_338,5
23003_339,2
23003_340,1
23003_341,1
23003_343,2
23003_344,2
23003_345,2
23003_346,4
23003_347,6
23003_349,6
23003_351,4
23003_353,2
23003_358,4
23003_359,4
23003_364,5
23003_367,1
23003_369,2
23003_373,6
23003_374,4
23003_378,2
23003_379,4
